Name,Kobs,UV_wave,UV_Energy,CPFAS,Electron_donor,CED,pH,Temp,Time,water,Air_condition,nAcid,nBase,nAtom,nHeavyAtom,nH,nC,nN,nO,nS,nF,nX,H_C,O_C,F_C,DBE,HybRatio,nAtomP,nRing,MW,ClogP,HBDC,HBAC,RBC,TPSA,CPLX,EB3LYP,EEE,μ,α,EHOMO,ELUMO,EGAP,ELUMO_EHOMO,qH,qC,qF,f_min,f_max,f_zmin,f_zmax,f_0min,f_0max,IP,EA,ζ,CI,η,S,EI,NI,Volume,ESP_min,ESP_max,SAG,ESP_Positive_surface_area,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,ESP_Negative_average_value,MPI,Nonpolar_surface_area,Nonpolar_surface_area_1,Polar_surface_area,Polar_surface_area_1
PFBA,0.36,254,11.9,25,SO32-,10,12,25,12,Milli-Q water,S,1,0,14,13,1,4,0,2,0,7,7,0.25,0.5,1.75,1,0.75,3,0,214.04,2.2,1,9,2,37.3,217,-1002.359323,-1002.359323,2.76259,48.544,-8.425671,-1.221073,7.204599,-9.646744,0.1754,0.1758,-0.1046,0.0199,0.3059,0.0271,0.208,0.0235,0.257,11.0652,-1.3161,4.8745,-4.8745,12.3813,0.0808,0.9596,0.6956,148.19171,-28.77483,61.69693,159.71999,115.90338,43.81661,2.95891,9.05113,-13.15621,10.1773,99.4,62.23,60.32,37.77
PFBA,7.16,254,18,25,SO32-,10,12,20,8,Milli-Q water,S,1,0,14,13,1,4,0,2,0,7,7,0.25,0.5,1.75,1,0.75,3,0,214.04,2.2,1,9,2,37.3,217,-1002.359323,-1002.359323,2.76259,48.544,-8.425671,-1.221073,7.204599,-9.646744,0.1754,0.1758,-0.1046,0.0199,0.3059,0.0271,0.208,0.0235,0.257,11.0652,-1.3161,4.8745,-4.8745,12.3813,0.0808,0.9596,0.6956,148.19171,-28.77483,61.69693,159.71999,115.90338,43.81661,2.95891,9.05113,-13.15621,10.1773,99.4,62.23,60.32,37.77
PFBA,0.078,254,8,46,I-,10,7,25,2.5,Milli-Q water,A,1,0,14,13,1,4,0,2,0,7,7,0.25,0.5,1.75,1,0.75,3,0,214.04,2.2,1,9,2,37.3,217,-1002.359323,-1002.359323,2.76259,48.544,-8.425671,-1.221073,7.204599,-9.646744,0.1754,0.1758,-0.1046,0.0199,0.3059,0.0271,0.208,0.0235,0.257,11.0652,-1.3161,4.8745,-4.8745,12.3813,0.0808,0.9596,0.6956,148.19171,-28.77483,61.69693,159.71999,115.90338,43.81661,2.95891,9.05113,-13.15621,10.1773,99.4,62.23,60.32,37.77
PFBA,0.4,254,18,25,SO32-,10,9.5,20,24,Milli-Q water,S,1,0,14,13,1,4,0,2,0,7,7,0.25,0.5,1.75,1,0.75,3,0,214.04,2.2,1,9,2,37.3,217,-1002.359323,-1002.359323,2.76259,48.544,-8.425671,-1.221073,7.204599,-9.646744,0.1754,0.1758,-0.1046,0.0199,0.3059,0.0271,0.208,0.0235,0.257,11.0652,-1.3161,4.8745,-4.8745,12.3813,0.0808,0.9596,0.6956,148.19171,-28.77483,61.69693,159.71999,115.90338,43.81661,2.95891,9.05113,-13.15621,10.1773,99.4,62.23,60.32,37.77
PFBS,0.0013,254,18,25,SO32-,10,9.5,20,48,Milli-Q water,S,1,0,18,17,1,4,0,3,1,9,9,0.25,0.75,2.25,0,1,4,0,300.1,2.3,1,12,3,62.8,387,-1675.370737,-1675.370737,2.569589,69.894333,-9.291112,-0.471852,8.81926,-9.762964,0.2019,0.1749,-0.0906,0.0186,0.144,0.0162,0.1248,0.0174,0.1171,11.4408,-1.6134,4.9137,-4.9137,13.0542,0.0766,0.9248,-0.1699,198.80856,-23.3657,71.87914,198.57922,103.34805,95.23117,1.04459,9.41907,-8.04368,8.75948,139.29,70.14,59.29,29.86
PFBS,0.037,254,12.8,25,SO32-,10,12,25,120,Milli-Q water,S,1,0,18,17,1,4,0,3,1,9,9,0.25,0.75,2.25,0,1,4,0,300.1,2.3,1,12,3,62.8,387,-1675.370737,-1675.370737,2.569589,69.894333,-9.291112,-0.471852,8.81926,-9.762964,0.2019,0.1749,-0.0906,0.0186,0.144,0.0162,0.1248,0.0174,0.1171,11.4408,-1.6134,4.9137,-4.9137,13.0542,0.0766,0.9248,-0.1699,198.80856,-23.3657,71.87914,198.57922,103.34805,95.23117,1.04459,9.41907,-8.04368,8.75948,139.29,70.14,59.29,29.86
PFBS,0.024,254,8,33.4,I-,10,7,25,2.5,Milli-Q water,A,1,0,18,17,1,4,0,3,1,9,9,0.25,0.75,2.25,0,1,4,0,300.1,2.3,1,12,3,62.8,387,-1675.370737,-1675.370737,2.569589,69.894333,-9.291112,-0.471852,8.81926,-9.762964,0.2019,0.1749,-0.0906,0.0186,0.144,0.0162,0.1248,0.0174,0.1171,11.4408,-1.6134,4.9137,-4.9137,13.0542,0.0766,0.9248,-0.1699,198.80856,-23.3657,71.87914,198.57922,103.34805,95.23117,1.04459,9.41907,-8.04368,8.75948,139.29,70.14,59.29,29.86
PFBS,0.053,254,18,25,SO32-,10,12,20,8,Milli-Q water,S,1,0,18,17,1,4,0,3,1,9,9,0.25,0.75,2.25,0,1,4,0,300.1,2.3,1,12,3,62.8,387,-1675.370737,-1675.370737,2.569589,69.894333,-9.291112,-0.471852,8.81926,-9.762964,0.2019,0.1749,-0.0906,0.0186,0.144,0.0162,0.1248,0.0174,0.1171,11.4408,-1.6134,4.9137,-4.9137,13.0542,0.0766,0.9248,-0.1699,198.80856,-23.3657,71.87914,198.57922,103.34805,95.23117,1.04459,9.41907,-8.04368,8.75948,139.29,70.14,59.29,29.86
ωH-PFPrA,0.42,254,11.1,25,SO32-,10,12,25,12,Milli-Q water,S,1,0,11,9,2,3,0,2,0,4,4,0.666666667,0.666666667,1.333333333,1,0.666666667,3,0,146.04,1.3,1,6,2,37.3,121,-665.330715,-665.330715,1.302879,37.720333,-8.288425,-0.935742,7.352683,-9.224167,0.2007,0.1741,-0.1106,0.0476,0.2924,0.0362,0.2231,0.0463,0.2578,10.9438,-1.7365,4.6037,-4.6037,12.6802,0.0789,0.8357,0.8328,113.99204,-28.60201,60.51383,130.514,49.1594,81.3546,0.96735,18.35962,9.54212,12.86332,72.31,55.4,58.21,44.6
ωH-PFHpA,0.4,254,11,25,SO32-,10,12,25,6,Milli-Q water,S,1,0,23,21,2,7,0,2,0,12,12,0.285714286,0.285714286,1.714285714,1,0.857142857,3,0,346.07,4,1,14,6,37.3,414,-1616.47312,-1616.47312,0.806062,80.694667,-8.399522,-1.093448,7.306075,-9.49297,0.2021,0.1751,-0.1066,0.0155,0.192,0.0135,0.1699,0.0177,0.1809,10.5773,-1.289,4.6442,-4.6442,11.8663,0.0843,0.9088,0.7217,233.91305,-26.70759,62.40922,229.94438,69.03628,160.9081,0.20781,15.35074,-6.28914,9.00971,174.51,75.89,55.44,24.11
ωH-PFOA,0.6,254,11.2,25,SO32-,10,12,25,6,Milli-Q water,S,1,0,26,24,2,8,0,2,0,14,14,0.25,0.25,1.75,1,0.875,3,0,396.08,4.7,1,16,7,37.3,495,-1854.258109,-1854.258109,1.317644,92.154,-8.4524,-1.269714,7.182686,-9.722114,0.203,0.1729,-0.1068,0.0154,0.1756,0.009,0.1581,0.0141,0.1668,10.4607,-0.9339,4.7634,-4.7634,11.3946,0.0878,0.9957,0.6688,264.50454,-25.54792,63.96108,258.25158,80.17289,178.07868,0.38768,13.90311,-5.69711,8.24462,203.02,78.61,55.24,21.39
HFPO-TeA,0.13,254,10.7,25,SO32-,10,12,25,36,Milli-Q water,S,1,0,41,40,1,12,0,5,0,23,23,0.083333333,0.416666667,1.916666667,1,0.916666667,3,0,662.1,7.8,1,28,10,65,930,-3130.366348,-3130.366348,1.853265,146.176333,-8.564187,-1.075303,7.488884,-9.63949,0.1784,0.1563,-0.0988,-0.0056,0.2282,-0.006,0.1591,-0.0056,0.1936,10.8087,-1.0946,4.8571,-4.8571,11.9034,0.084,0.9909,0.557,419.84572,-26.2229,57.20036,369.62792,189.71195,179.91597,1.34923,6.34448,-3.91801,5.1634,314.63,85.12,54.99,14.88
PFMeUPA(239795-58-5 ),4.01,254,12.9,25,SO32-,10,12,25,1,Milli-Q water,S,1,0,18,17,1,6,0,2,0,9,9,0.166666667,0.333333333,1.5,2,0.5,5,0,276.06,2.7,1,11,2,37.3,335,-1278.235465,-1278.235465,2.018963,72.897333,-7.96482,-2.1985,5.766319,-10.16332,0.1977,0.0789,-0.098,0.0114,0.1549,0.011,0.1499,0.0112,0.1416,10.3455,-0.0168,5.1643,-5.1643,10.3623,0.0965,1.2869,1.1564,192.01685,-28.86241,60.18184,197.74138,87.26469,110.47669,1.48018,10.84957,-5.92063,8.09581,142.82,72.22,54.92,27.78
TFA,0.41,254,13.2,25,SO32-,10,12,25,24,Milli-Q water,S,1,0,8,7,1,2,0,2,0,3,3,0.5,1,1.5,1,0.5,3,0,114.02,0.9,1,5,0,37.3,83.4,-526.785792,-526.785792,2.903452,26.982333,-8.424333,-1.065781,7.358552,-9.490114,0.1805,0.2021,-0.1011,0.0556,0.1449,0.0588,0.2522,0.0572,0.3184,11.4101,-1.851,4.7795,-4.7795,13.2611,0.0754,0.8613,0.6969,87.41094,-29.31748,63.11419,106.61318,56.91701,49.69617,2.85125,15.6311,-11.7855,13.83853,53.69,50.36,52.92,49.64
